Publication Venue,Count
Journal of Quantitative Criminology,2
Violence & Victims,1
DRUSTVENA ISTRAZIVANJA,3
Social Theory & Practice,1
Analyses of Social Issues & Public Policy,2
Journal of Social Issues,1
International Journal of the Sociology of Language,4
Journal of Muslim Minority Affairs,3
Sociological Review Monograph,1
Sexuality Research & Social Policy: Journal of NSRC,1
AGRICULTURE AND HUMAN VALUES,2
DEVIANT BEHAVIOR,1
Cooperation & Conflict,3
Journal of Experimental Criminology,1
Studi di Sociologia,1
JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION,1
African Journal of Criminology & Justice Studies,1
International Annals of Criminology,1
Chinese Sociological Dialogue,2
MAI Review,1
Journal of Applied Social Sciences (19367244),1
"Health, Risk & Society",2
Asian Journal of Social Psychology,2
SOCIOLOGICAL PERSPECTIVES,2
Signs: Journal of Women in Culture & Society,2
Radio Journal: International Studies in Broadcast & Audio Media,2
Qualitative Sociology Review,4
GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,1
Contemporary Justice Review,1
CESifo Economic Studies,1
Open Anthropological Research,1
Discurso de odio y aceptación social hacia migrantes en Europa: Análisis de tuits con geolocalización.,1
RACE AND SOCIAL PROBLEMS,1
American Sociologist,1
"Politics, Groups & Identities",4
Demographic Research,1
Journal of Child & Family Studies,1
Africa Spectrum,1
Environment & Behavior,1
Journal of Marital & Family Therapy,1
Culture Unbound: Journal of Current Cultural Research,1
Social Work in Public Health,1
Rationality & Society,1
Journal of Drug Issues,3
SOCIETY & NATURAL RESOURCES,2
Qualitative Social Work,2
Sociologia e Politiche Sociali,2
Sociological Studies of Children & Youth,1
Generations,1
Frontiers: A Journal of Women Studies,1
NATIONS AND NATIONALISM,1
Análisis distribuido y supervisado de sentimientos en Twitter: Integrando aprendizaje automático y analítica en tiempo real para retos de dimensión big data en investigación de comunicación y audiencias.,1
Forum: Qualitative Social Research,2
Cultural Dynamics,1
International Journal of Social Work Values & Ethics,1
Current Issues in Criminal Justice,1
Distinktion: Journal of Social Theory,1
British Journal of Social Work,2
Journal of Feminist Family Therapy,2
"Journal of Aggression, Maltreatment & Trauma",1
City & Community,1
Journal of Traumatic Stress,2
Journal of Youth & Adolescence,1
Women & Criminal Justice,1
Social Psychology Quarterly,1
Journal of Hate Studies,3
Psychology of Women Quarterly,1
Urban Affairs Review,1
Anthropological Theory,1
Studies in Qualitative Methodology,1
Social Work Research,1
Canadian Journal of Law & Society/Revue Canadienne Droit et Societe (Cambridge University Press),1
Sustainable & Resilient Infrastructure,1
SOCIOLOGICA-ITALIAN JOURNAL OF SOCIOLOGY ON LINE,3
New Bioethics,1
Revista española de investigaciones sociológicas,1
"Drugs: Education, Prevention & Policy",2
Journal of Creativity in Mental Health,1
Chinese Journal of Sociology,2
Populism,1
INTERNATIONAL REVIEW OF SOCIOLOGY-REVUE INTERNATIONALE DE SOCIOLOGIE,2
SOCIOLOGY OF HEALTH & ILLNESS,2
